User ID,Male,Age,EstimatedSalary,Purchased
15680243,0,20,36000,0
15745083,1,26,80000,0
15708228,1,35,22000,0
15628523,1,35,39000,0
15708196,1,49,74000,0
15735549,0,39,134000,1
15809347,0,41,71000,0
15660866,0,58,101000,1
15766609,0,47,47000,0
15654230,0,55,130000,1
15794566,0,52,114000,0
15800890,0,40,142000,1
15697424,0,46,22000,0
15724536,0,48,96000,1
15735878,1,52,150000,1
15707596,0,59,42000,0
15657163,1,35,58000,0
15622478,1,47,43000,0
15779529,0,60,108000,1
15636023,1,49,65000,0
15582066,1,40,78000,0
15666675,0,46,96000,0
15732987,1,59,143000,1
15789432,0,41,80000,0
15663161,1,35,91000,1
15694879,1,37,144000,1
15593715,1,60,102000,1
15575002,0,35,60000,0
15622171,1,37,53000,0
15795224,0,36,126000,1
15685346,1,56,133000,1
15691808,0,40,72000,0
15721007,0,42,80000,1
15794253,0,35,147000,1
15694453,1,39,42000,0
15813113,1,40,107000,1
15614187,1,49,86000,1
15619407,0,38,112000,0
15646227,1,46,79000,1
15660541,1,40,57000,0
15753874,0,37,80000,0
15617877,0,46,82000,0
15772073,0,53,143000,1
15701537,1,42,149000,1
15736228,1,38,59000,0
15780572,0,50,88000,1
15769596,0,56,104000,1
15586996,0,41,72000,0
15722061,0,51,146000,1
15638003,0,35,50000,0
15775590,0,57,122000,1
15730688,1,41,52000,0
15753102,0,35,97000,1
15810075,0,44,39000,0
15723373,1,37,52000,0
15795298,0,48,134000,1
15584320,0,37,146000,1
15724161,0,50,44000,0
15750056,0,52,90000,1
15609637,0,41,72000,0
15794493,1,40,57000,0
15569641,0,58,95000,1
15815236,0,45,131000,1
15811177,0,35,77000,0
15680587,1,36,144000,1
15672821,0,55,125000,1
15767681,0,35,72000,0
15600379,1,48,90000,1
15801336,0,42,108000,1
15721592,1,40,75000,0
15581282,1,37,74000,0
15746203,0,47,144000,1
15583137,1,40,61000,0
15680752,0,43,133000,0
15688172,0,59,76000,1
15791373,1,60,42000,1
15589449,1,39,106000,1
15692819,0,57,26000,1
15727467,1,57,74000,1
15734312,1,38,71000,0
15764604,1,49,88000,1
15613014,0,52,38000,1
15759684,0,50,36000,1
15609669,0,59,88000,1
15685536,1,35,61000,0
15750447,1,37,70000,1
15663249,0,52,21000,1
15638646,1,48,141000,0
15734161,0,37,93000,1
15631070,0,37,62000,0
15761950,0,48,138000,1
15649668,1,41,79000,0
15713912,0,37,78000,1
15586757,1,39,134000,1
15596522,1,49,89000,1
15625395,1,55,39000,1
15760570,1,37,77000,0
15566689,0,35,57000,0
15725794,0,36,63000,0
15673539,1,42,73000,1
15705298,0,43,112000,1
15675791,1,45,79000,0
15747043,1,46,117000,1
15736397,0,58,38000,1
15678201,1,48,74000,1
15720745,0,37,137000,1
15637593,1,37,79000,1
15598070,0,40,60000,0
15787550,1,42,54000,0
15603942,0,51,134000,0
15733973,0,47,113000,1
15596761,1,36,125000,1
15652400,0,38,50000,0
15717893,0,42,70000,0
15622585,1,39,96000,1
15733964,0,38,50000,0
15753861,0,49,141000,1
15747097,0,39,79000,0
15594762,0,39,75000,1
15667417,0,54,104000,1
15684861,1,35,55000,0
15742204,1,45,32000,1
15623502,1,36,60000,0
15774872,0,52,138000,1
15611191,0,53,82000,1
15674331,1,41,52000,0
15619465,0,48,30000,1
15575247,0,48,131000,1
15695679,0,41,60000,0
15713463,1,41,72000,0
15785170,0,42,75000,0
15796351,1,36,118000,1
15639576,0,47,107000,1
15693264,1,38,51000,0
15589715,0,48,119000,1
15769902,1,42,65000,0
15587177,1,40,65000,0
15814553,1,57,60000,1
15601550,0,36,54000,0
15664907,1,58,144000,1
15612465,1,35,79000,0
15810800,0,38,55000,0
15665760,1,39,122000,1
15588080,0,53,104000,1
15776844,1,35,75000,0
15717560,0,38,65000,0
15629739,0,47,51000,1
15729908,1,47,105000,1
15716781,0,41,63000,0
15646936,1,53,72000,1
15768151,0,54,108000,1
15579212,1,39,77000,0
15721835,1,38,61000,0
15800515,0,38,113000,1
15591279,1,37,75000,0
15587419,0,42,90000,1
15750335,0,37,57000,0
15699619,1,36,99000,1
15606472,1,60,34000,1
15778368,1,54,70000,1
15671387,0,41,72000,0
15573926,1,40,71000,1
15709183,1,42,54000,0
15577514,1,43,129000,1
15778830,0,53,34000,1
15768072,0,47,50000,1
15768293,0,42,79000,0
15654456,1,42,104000,1
15807525,0,59,29000,1
15574372,0,58,47000,1
15671249,1,46,88000,1
15779744,1,38,71000,0
15624755,0,54,26000,1
15611430,0,60,46000,1
15774744,1,60,83000,1
15629885,0,39,73000,0
15708791,1,59,130000,1
15793890,0,37,80000,0
15646091,0,46,32000,1
15596984,0,46,74000,0
15800215,0,42,53000,0
15577806,1,41,87000,1
15749381,0,58,23000,1
15683758,1,42,64000,0
15670615,1,48,33000,1
15715622,0,44,139000,1
15707634,1,49,28000,1
15806901,0,57,33000,1
15775335,1,56,60000,1
15724150,0,49,39000,1
15627220,1,39,71000,0
15672330,1,47,34000,1
15668521,0,48,35000,1
15807837,1,48,33000,1
15592570,1,47,23000,1
15748589,0,45,45000,1
15635893,1,60,42000,1
15757632,0,39,59000,0
15691863,0,46,41000,1
15706071,1,51,23000,1
15654296,0,50,20000,1
15755018,1,36,33000,0
15594041,0,49,36000,1
